iter	Passed	Remaining
0	186	186632
1	188	93905
2	189	62981
3	190	47489
4	191	38199
5	193	32015
6	196	27894
7	197	24540
8	199	21926
9	200	19838
10	201	18130
11	202	16706
12	204	15496
13	205	14470
14	206	13577
15	210	12962
16	212	12267
17	213	11650
18	214	11088
19	215	10580
20	217	10125
21	218	9710
22	219	9333
23	223	9081
24	225	8778
25	226	8478
26	227	8207
27	231	8020
28	233	7803
29	238	7700
30	239	7501
31	241	7300
32	242	7110
33	246	7013
34	248	6847
35	252	6765
36	253	6605
37	255	6460
38	256	6316
39	257	6178
40	258	6048
41	259	5925
42	260	5808
43	262	5695
44	263	5594
45	264	5490
46	266	5396
47	268	5321
48	269	5237
49	270	5147
50	272	5063
51	273	4981
52	274	4899
53	276	4836
54	277	4763
55	279	4718
56	285	4729
57	287	4663
58	290	4629
59	291	4561
60	291	4494
61	292	4431
62	293	4369
63	294	4309
64	295	4256
65	298	4218
66	299	4165
67	300	4114
68	301	4064
69	302	4017
70	303	3977
71	305	3937
72	308	3912
73	309	3866
74	310	3826
75	311	3786
76	313	3758
77	314	3720
78	316	3687
79	318	3667
80	319	3628
81	320	3590
82	321	3548
83	322	3512
84	322	3476
85	323	3441
86	325	3411
87	326	3381
88	328	3359
89	329	3329
90	330	3299
91	332	3284
92	333	3257
93	335	3234
94	337	3219
95	338	3191
96	340	3166
97	341	3140
98	342	3119
99	343	3095
100	345	3071
101	348	3070
102	349	3046
103	350	3022
104	351	2997
105	352	2973
106	353	2950
107	354	2928
108	355	2908
109	357	2891
110	358	2871
111	361	2868
112	364	2859
113	365	2843
114	367	2827
115	368	2808
116	369	2789
117	370	2772
118	372	2754
119	373	2737
120	374	2719
121	375	2701
122	376	2687
123	379	2680
124	380	2662
125	381	2645
126	382	2626
127	383	2612
128	384	2597
129	386	2589
130	388	2578
131	389	2562
132	390	2545
133	391	2529
134	392	2513
135	393	2498
136	394	2482
137	395	2467
138	395	2452
139	396	2437
140	397	2424
141	401	2424
142	402	2413
143	403	2400
144	405	2389
145	406	2378
146	407	2366
147	408	2354
148	410	2343
149	411	2332
150	414	2330
151	416	2323
152	417	2312
153	418	2300
154	420	2289
155	421	2279
156	422	2269
157	423	2258
158	425	2248
159	426	2238
160	430	2245
161	432	2235
162	433	2224
163	434	2214
164	435	2205
165	436	2195
166	438	2184
167	439	2175
168	440	2166
169	443	2162
170	445	2157
171	446	2150
172	448	2141
173	449	2133
174	452	2130
175	453	2124
176	455	2119
177	460	2124
178	461	2115
179	462	2106
180	463	2097
181	464	2089
182	465	2080
183	467	2071
184	468	2062
185	469	2054
186	470	2046
187	473	2043
188	475	2040
189	476	2032
190	477	2024
191	479	2016
192	480	2008
193	481	2000
194	482	1992
195	484	1988
196	490	2000
197	492	1993
198	493	1986
199	495	1980
200	496	1973
201	498	1967
202	499	1960
203	500	1953
204	501	1946
205	505	1948
206	506	1941
207	507	1934
208	509	1926
209	510	1919
210	512	1915
211	513	1909
212	514	1901
213	515	1895
214	518	1892
215	520	1889
216	521	1883
217	523	1876
218	524	1869
219	526	1867
220	527	1861
221	529	1856
222	531	1850
223	536	1857
224	537	1850
225	538	1844
226	539	1837
227	544	1842
228	546	1838
229	551	1846
230	553	1842
231	554	1835
232	556	1831
233	557	1824
234	558	1818
235	559	1811
236	560	1805
237	561	1798
238	562	1791
239	565	1789
240	566	1783
241	567	1776
242	568	1769
243	569	1765
244	570	1759
245	571	1752
246	572	1745
247	573	1738
248	574	1732
249	575	1725
250	576	1719
251	577	1713
252	578	1708
253	581	1706
254	582	1700
255	583	1695
256	584	1689
257	585	1682
258	585	1676
259	586	1670
260	587	1664
261	588	1658
262	589	1651
263	590	1645
264	591	1640
265	594	1641
266	595	1635
267	596	1630
268	598	1625
269	599	1620
270	600	1615
271	601	1609
272	602	1604
273	603	1598
274	604	1592
275	604	1586
276	605	1581
277	607	1576
278	609	1575
279	610	1570
280	611	1565
281	612	1560
282	613	1554
283	614	1549
284	615	1543
285	616	1538
286	617	1533
287	618	1528
288	618	1522
289	619	1517
290	620	1512
291	622	1509
292	625	1509
293	626	1505
294	627	1500
295	628	1495
296	629	1490
297	630	1484
298	631	1480
299	632	1475
300	633	1470
301	633	1465
302	634	1460
303	635	1455
304	637	1451
305	638	1449
306	640	1444
307	641	1440
308	642	1436
309	643	1431
310	644	1427
311	646	1425
312	647	1420
313	648	1416
314	649	1411
315	649	1406
316	651	1403
317	654	1404
318	655	1399
319	656	1395
320	657	1390
321	658	1386
322	659	1381
323	660	1377
324	661	1373
325	661	1368
326	662	1364
327	663	1359
328	664	1355
329	666	1352
330	668	1351
331	669	1347
332	670	1343
333	671	1339
334	672	1334
335	673	1330
336	674	1326
337	674	1321
338	675	1317
339	676	1313
340	677	1309
341	678	1305
342	679	1301
343	684	1306
344	685	1302
345	686	1298
346	687	1294
347	688	1290
348	689	1286
349	690	1282
350	691	1278
351	692	1274
352	692	1270
353	693	1265
354	698	1269
355	700	1267
356	701	1263
357	702	1259
358	703	1256
359	704	1252
360	705	1248
361	706	1244
362	706	1240
363	707	1236
364	708	1232
365	709	1229
366	711	1227
367	713	1225
368	714	1222
369	715	1218
370	716	1214
371	717	1211
372	718	1207
373	719	1203
374	720	1200
375	720	1196
376	721	1192
377	723	1189
378	730	1196
379	731	1193
380	732	1190
381	779	1261
382	780	1258
383	782	1254
384	784	1252
385	785	1249
386	787	1246
387	788	1243
388	792	1245
